Im Filialzielbestand bis spätestens;Quelle;Product Type;Product Mandator Country Id;Product Id; Einkaufspreis (teilweise Lagerwert) ;Stück pro Filiale;Bemerkungen;Einkaufswert;;Verfügbarkeit;Anpassung der Anzahl;;;Legende:
24.05.2024;;Drohnen Zubehör ;"DJI Mavic 3 Low-Noise Propeller (Diverse; Mavic 3)";18002292; CHF 15.60 ;1;; CHF 15.60 ;AJ;;;;;
24.05.2024;;Drohnen Zubehör ;"DJI Mavic 3 Intelligent Flight Battery (Akku; Mavic 3)";18002296; CHF 155.80 ;1;; CHF 155.80 ;AJ;;;;;
24.05.2024;;Drohnen Zubehör ;"DJI Mini 3 Pro Propellers (Diverse; Mini 3 Pro)";20805202; CHF 7.04 ;1;; CHF 7.04 ;AJ;;;;;
24.05.2024;;Drucker;"EcoTank ET-2850 (Tintentank; Farbe)";16729880; CHF 254.53 ;1;; CHF 254.53 ;AJ;;;;;
24.05.2024;;Drucker;"Expression Premium XP-7100 (Tintenpatrone; Farbe)";9762564; CHF 109.81 ;1;; CHF 109.81 ;AJ;;;;;
24.05.2024;;Drucker;"Envy Inspire 7220e (Tintenpatrone; Farbe)";17694750; CHF 76.69 ;1;; CHF 76.69 ;AJ;;;;;
24.05.2024;;Drucker;"EcoTank ET-4850 (Tintentank; Farbe)";16827052; CHF 305.46 ;1;; CHF 305.46 ;AJ;;;;;
24.05.2024;;Drucker;"EcoTank ET-3850 (Tintentank; Farbe)";16712343; CHF 306.24 ;1;; CHF 306.24 ;AJ;;;;;
24.05.2024;;Drucker;"M283fdw Color LaserJet Pro (Laser; Farbe)";12511193; CHF 323.38 ;1;; CHF 323.38 ;AJ;;;;;
;;Drucker;"Zoemini 2 (Thermodirekt; Farbe)";22512988; CHF 84.35 ;1;; CHF 84.35 ;AJ;;;;;
;;Drucker;"Sprocket 200 (Thermodirekt; Farbe)";14951102; CHF 72.86 ;1;; CHF 72.86 ;AJ;;;;;
;;Drucker;"Selphy CP1500 (Thermodirekt; Farbe)";21469284; CHF 77.43 ;1;; CHF 77.43 ;AJ;;;;;
;;Drucker;"Smart Tank 7305 (Tintentank; Farbe)";16725900;;1;; CHF -   ;AJ;;;;;
;;Drucker;"Smart Tank 7005 (Tintentank; Farbe)";16725901;;1;;;;;;;;
24.05.2024;Top 1000 Artikel;Elektrische Zahnbürste;DiamondClean 9000;13037848; CHF 160.22 ;1;; CHF 160.22 ;AJ;;;;;
24.05.2024;;Elektrische Zahnbürste;DiamondClean 9000;13037846; CHF 139.06 ;1;; CHF 139.06 ;AJ;;;;;
24.05.2024;;Elektrische Zahnbürste;iO 6 + Sensitive;21402074; CHF 90.70 ;1;; CHF 90.70 ;AJ;;;;;
24.05.2024;;Elektrische Zahnbürste;DiamondClean 9000;13037847; CHF 138.97 ;1;; CHF 138.97 ;AJ;;;;;
24.05.2024;;Elektrische Zahnbürste;9900 Prestige;15683264; CHF 189.25 ;1;; CHF 189.25 ;AJ;;;;;
;;Elektrische Zahnbürste;DiamondClean 9000 Doppelpack;13663591; CHF 171.74 ;1;; CHF 171.74 ;AJ;;;;;
24.05.2024;Top Galaxus;Etiketten;DK-11201;242555; CHF 6.36 ;1;; CHF 6.36 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Externe Festplatte;Elements;12344745; CHF 84.00 ;1;; CHF 84.00 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Externe Festplatte;My Book;5942034; CHF 140.75 ;1;; CHF 140.75 ;AJ;;;;;
24.05.2024;;Externe Festplatte;Elements (4 TB);6966116; CHF 71.63 ;1;; CHF 71.63 ;AJ;;;;;
24.05.2024;;Externe Festplatte;Elements (1 TB);448764; CHF 42.55 ;1;; CHF 42.55 ;AJ;;;;;
24.05.2024;;Externe Festplatte;Elements (2 TB);448766; CHF 52.38 ;1;; CHF 52.38 ;AJ;;;;;
